Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Level
GCA_964078405.1	INEI106697	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964080405.1	INEI107935	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964092985.1	INEI111235	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964098155.1	INEI111479	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964107205.1	INEI110927	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964125585.1	INEI116188	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964061405.1	INEI103835	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964066315.1	INEI105820	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964068515.1	INEI104512	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964070755.1	INEI106257	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964073135.1	INEI106723	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964092255.1	INEI110988	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964097135.1	INEI111482	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964097775.1	INEI112048	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
